phy,data_rate,channel,frequency,signal_dbm,timestamp,wlan_tagged_all,wlan_tag,wlan_tag_number,wlan_tag_length,wlan_ssid,wlan_supported_rates,wlan_extended_supported_rates,wlan_ds_current_channel,wlan_ht_capabilities,wlan_ht_capabilities_ldpccoding,wlan_ht_capabilities_width,wlan_ht_capabilities_sm,wlan_ht_capabilities_green,wlan_ht_capabilities_short20,wlan_ht_capabilities_short40,wlan_ht_capabilities_txstbc,wlan_ht_capabilities_rxstbc,wlan_ht_capabilities_delayedblockack,wlan_ht_capabilities_amsdu,wlan_ht_capabilities_dsscck,wlan_ht_capabilities_psmp,wlan_ht_capabilities_40mhzintolerant,wlan_ht_capabilities_lsig,wlan_ht_ampduparam,wlan_ht_ampduparam_maxlength,wlan_ht_ampduparam_mpdudensity,wlan_ht_ampduparam_reserved,wlan_ht_mcsset,wlan_ht_mcsset_rxbitmask,wlan_ht_mcsset_rxbitmask_0to7,wlan_ht_mcsset_rxbitmask_8to15,wlan_ht_mcsset_rxbitmask_16to23,wlan_ht_mcsset_rxbitmask_24to31,wlan_ht_mcsset_rxbitmask_32,wlan_ht_mcsset_rxbitmask_33to38,wlan_ht_mcsset_rxbitmask_39to52,wlan_ht_mcsset_rxbitmask_53to76,wlan_ht_mcsset_highestdatarate,wlan_ht_mcsset_txsetdefined,wlan_ht_mcsset_txrxmcsnotequal,wlan_ht_mcsset_txmaxss,wlan_ht_mcsset_txunequalmod,wlan_htex_capabilities,wlan_htex_capabilities_pco,wlan_htex_capabilities_transtime,wlan_htex_capabilities_mcs,wlan_htex_capabilities_htc,wlan_htex_capabilities_rdresponder,wlan_txbf,wlan_txbf_txbf,wlan_txbf_rxss,wlan_txbf_txss,wlan_txbf_rxndp,wlan_txbf_txndp,wlan_txbf_impltxbf,wlan_txbf_calibration,wlan_txbf_csi,wlan_txbf_fm_uncompressed_tbf,wlan_txbf_fm_compressed_tbf,wlan_txbf_rcsi,wlan_txbf_fm_uncompressed_rbf,wlan_txbf_fm_compressed_bf,wlan_txbf_mingroup,wlan_txbf_csinumant,wlan_txbf_fm_uncompressed_maxant,wlan_txbf_fm_compressed_maxant,wlan_txbf_csi_maxrows,wlan_txbf_channelest,wlan_txbf_reserved,wlan_asel,wlan_asel_capable,wlan_asel_txcsi,wlan_asel_txif,wlan_asel_csi,wlan_asel_if,wlan_asel_rx,wlan_asel_sppdu,wlan_asel_reserved,wlan_extcap,wlan_extcap_b0,wlan_extcap_b1,wlan_extcap_b2,wlan_extcap_b3,wlan_extcap_b4,wlan_extcap_b5,wlan_extcap_b6,wlan_extcap_b7,wlan_extcap_b8,wlan_extcap_b9,wlan_extcap_b10,wlan_extcap_b11,wlan_extcap_b12,wlan_extcap_b13,wlan_extcap_b14,wlan_extcap_b15,wlan_extcap_b16,wlan_extcap_b17,wlan_extcap_b18,wlan_extcap_b19,wlan_extcap_b20,wlan_extcap_b21,wlan_extcap_b22,wlan_extcap_b23,wlan_extcap_b24,wlan_extcap_b25,wlan_extcap_b26,wlan_extcap_b27,wlan_extcap_b28,wlan_extcap_b29,wlan_extcap_b30,wlan_extcap_b31,wlan_interworking_access_network_type,wlan_interworking_internet,wlan_interworking_asra,wlan_interworking_esr,wlan_interworking_uesa,wlan_interworking_hessid
7,1,11,2462,-71,132419517308458542,Tagged parameters (64 bytes),Tag: SSID parameter set: Wildcard SSID,0,0,SSID: ,2,12,12,0x0000402d,1,0,0x00000003,0,1,0,0,0x00000000,0,0,0,0,1,0,0x00000017,0x00000003,0x00000005,0x00000000,Rx Supported Modulation and Coding Scheme Set: MCS Set,Rx Modulation and Coding Scheme (One bit per modulation): 1 spatial stream,0x000000ff,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0,0,0x00000000,0,0x00000000,0,0x00000000,0x00000000,0,0,0x00000000,0,0,0,0,0,0,0x00000000,0,0,0,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0,0,0,0,0,0,0,0x00000000,0x00000000,0,0x00000000,0,0x00000000,0,0x00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,15,0,0,0,0,ff:ff:ff:ff:ff:ff
7,1,11,2462,-67,132419517308722505,Tagged parameters (64 bytes),Tag: SSID parameter set: Wildcard SSID,0,0,SSID: ,2,12,13,0x0000402d,1,0,0x00000003,0,1,0,0,0x00000000,0,0,0,0,1,0,0x00000017,0x00000003,0x00000005,0x00000000,Rx Supported Modulation and Coding Scheme Set: MCS Set,Rx Modulation and Coding Scheme (One bit per modulation): 1 spatial stream,0x000000ff,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0,0,0x00000000,0,0x00000000,0,0x00000000,0x00000000,0,0,0x00000000,0,0,0,0,0,0,0x00000000,0,0,0,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0,0,0,0,0,0,0,0x00000000,0x00000000,0,0x00000000,0,0x00000000,0,0x00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,15,0,0,0,0,ff:ff:ff:ff:ff:ff
7,1,11,2462,-54,132419517308926166,Tagged parameters (64 bytes),Tag: SSID parameter set: Wildcard SSID,0,0,SSID: ,2,12,13,0x0000402d,1,0,0x00000003,0,1,0,0,0x00000000,0,0,0,0,1,0,0x00000017,0x00000003,0x00000005,0x00000000,Rx Supported Modulation and Coding Scheme Set: MCS Set,Rx Modulation and Coding Scheme (One bit per modulation): 1 spatial stream,0x000000ff,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0,0,0x00000000,0,0x00000000,0,0x00000000,0x00000000,0,0,0x00000000,0,0,0,0,0,0,0x00000000,0,0,0,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0,0,0,0,0,0,0,0x00000000,0x00000000,0,0x00000000,0,0x00000000,0,0x00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,15,0,0,0,0,ff:ff:ff:ff:ff:ff
